AL,52,0.538,0.365,0.096,0,0,0,0.0,0.0,0.0,0,0,A
AK,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0,0,B
AZ,10,0.5,0.4,0.1,0,0,0,0.0,0.0,0.0,0,0,B
AR,16,0.5,0.5,0.0,0,0,0,0.0,0.0,0.0,0,0,A
CO,2,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,A
CT,6,0.833,0.167,0.0,0,0,0,0.0,0.0,0.0,0,0,A
DE,3,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0,0,B
FL,86,0.279,0.291,0.407,0,0,1,0.0,0.0,0.0,0.01,0,C
GA,64,0.516,0.406,0.031,0,0,0,0.0,0.0,0.0,0,0,B
HI,1,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,T
IL,16,0.4375,0.375,0.1875,0,0,0,0.0,0.0,0.0,,,A
IN,10,0.6,0.1,0.3,1,0,0,0.0,0.0,0.0,0,0,A
IA,14,0.214,0.643,0.143,0,1,0,0.0,0.0,0.0,0,0,B
KS,9,0.222,0.667,0.111,0,0,0,0.0,0.0,0.0,0,0,B
KT,4,0.3,0.5,0.0,0,0,0,0.0,0.0,0.0,0,0,B
LA,27,0.619,0.286,0.095,0,0,0,0.0,0.0,0.0,0,0,A
ME,1,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0,0,T
MD,13,0.231,0.385,0.385,0,0,0,0.0,0.0,0.0,0,0,C
MA,2,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0,0,B
MI,23,0.652,0.217,0.1,0,0,0,0.0,0.0,0.0,0,0,A
MN,2,0.5,0.5,0.0,0,0,0,0.0,0.0,0.0,0,0,B
MS,59,0.458,0.322,0.203,0,0,0,0.0,0.0,0.0,0,0,B
MO,34,0.314,0.6,0.057,0,0,0,0.0,0.0,0.0,0.03,0,B
MT,1,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,A
NE,9,0.333,0.444,0.222,0,0,0,0.0,0.0,0.0,0,0,B
NV,11,0.154,0.615,0.231,0,0,0,0.0,0.0,0.0,0,0,B
NH,2,0.5,0.5,0.0,0,0,0,0.0,0.0,0.0,0,0,A
NM,6,0.667,0.333,0.0,0,0,0,0.0,0.0,0.0,0,0,A
NY,10,0.4,0.5,0.0,0,0,0,0.0,0.0,0.0,0,0,B
NC,22,0.545,0.409,0.045,1,0,0,0.0,0.0,0.0,0,0,A
ND,2,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,A
OH,9,0.333,0.667,0.0,0,0,0,0.0,0.0,0.0,0,0,B
OK,28,0.357,0.536,0.107,0,0,0,0.0,0.0,0.0,0,0,B
OR,8,0.857,0.143,0.0,0,0,0,0.0,0.0,0.0,0,0,A
PA,8,0.625,0.3,0.125,0,0,0,0.0,0.0,0.0,0,0,A
RI,1,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,A
SC,8,0.625,0.375,0.0,0,0,0,0.0,0.0,0.0,0,0,A
SD,27,0.647,0.176,0.118,0,0,0,0.0,0.0,0.0,0,0,A
TN,50,0.3,0.6,0.1,0,1,0,0.0,0.0,0.0,0,0,B
TX,86,0.6,0.372,0.058,0,0,0,0.0,0.0,0.0,0,0,A
UT,3,0.0,0.333,0.333,0,0,0,0.0,0.0,0.0,0,0,C
VA,13,0.308,0.385,0.308,0,0,0,0.0,0.0,0.0,0,0,A
WA,5,0.4,0.6,0.0,0,0,0,0.0,0.0,0.0,0,0,B
WV,3,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,A
WI,3,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,A
WY,2,0.5,0.5,0.0,0,0,0,0.0,0.0,0.0,0,0,B
AL,50,0.2,0.1,0.0,0,0,0,0.417,0.438,0.146,0.5,0,A
AZ,7,0.429,0.429,0.0,0,0,0,0.857,0.143,0.0,0.14,0,B
AR,12,0.385,0.0,0.0,0,0,0,0.538,0.231,0.231,0.15,0,A
CO,4,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,1,0,A
CT,6,0.667,0.167,0.0,0,0,0,0.333,0.667,0.0,0.17,0,A
DE,3,0.0,1.0,0.0,0,0,0,0.667,0.333,0.0,0,0,B
FL,80,0.113,0.125,0.263,0,0,1,0.625,0.222,0.153,0.49,0,C
GA,65,0.215,0.062,0.0,0,0,0,0.508,0.323,0.169,0.62,0,B
HI,1,1.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0,0,T
IL,17,0.118,0.0,0.0,0,0,0,0.353,0.529,0.118,0.29,0,A
IN,9,0.444,0.0,0.0,1,0,0,0.556,0.111,0.333,0.22,0,A
IA,9,0.0,0.556,0.0,0,1,0,0.222,0.667,0.111,0.44,0,B
KS,9,0.111,0.444,0.111,0,0,0,0.3,0.8,0.0,0.33,0,B
KT,1,1.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0,0,B
LA,21,0.0,0.273,0.0,0,0,0,0.5,0.4,0.2,0.64,0,A
ME,1,1.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0,0,T
MD,14,0.071,0.0,0.0,0,0,0,0.286,0.286,0.429,0.64,0,C
MI,22,0.364,0.0,0.0,0,0,0,0.682,0.182,0.136,0.27,0,A
MN,2,1.0,0.0,0.0,0,0,0,0.5,0.0,0.5,0,0,B
MS,51,0.059,0.118,0.039,0,0,0,0.5,0.3,0.2,0.43,0,B
MO,33,0.0,0.333,0.0,0,0,0,0.3,0.548,0.161,0.52,0,B
MT,1,1.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0,0,A
NE,10,0.0,0.3,0.0,0,0,0,0.4,0.5,0.1,0.6,0,B
NV,9,0.0,0.333,0.111,0,0,0,0.667,0.222,0.111,0.56,0,B
NH,1,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,1,0,A
NM,4,0.3,0.0,0.0,0,0,0,0.333,0.667,0.0,0.5,0,A
NY,7,0.571,0.0,0.0,0,0,0,0.571,0.286,0.143,0.43,0,B
NC,13,0.385,0.154,0.154,1,0,0,0.538,0.231,0.231,0.31,0,A
ND,1,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,1,0,A
OH,8,0.0,0.333,0.0,0,0,0,0.0,0.875,0.125,0.67,0,B
OK,23,0.217,0.348,0.043,0,0,0,0.227,0.682,0.091,0.3,0,B
OR,3,0.333,0.0,0.0,0,0,0,1.0,0.0,0.0,0.67,0,A
PA,8,0.5,0.0,0.125,0,0,0,0.8,0.0,0.3,0.25,0,A
RI,1,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,1,0,A
SC,8,0.375,0.3,0.0,0,0,0,0.8,0.3,0.0,0.38,0,A
SD,13,0.308,0.0,0.0,0,0,0,0.462,0.385,0.154,0.69,0,A
TN,43,0.116,0.349,0.0,0,1,0,0.419,0.488,0.093,0.53,0,B
TX,73,0.278,0.153,0.0,0,0,0,0.639,0.222,0.139,0.53,0,A
UT,2,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1,0,C
VA,16,0.313,0.0,0.063,0,0,0,0.333,0.467,0.2,0.56,0,A
WA,6,0.0,0.0,0.0,0,0,0,0.333,0.5,0.167,0.83,0,B
WV,3,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.67,0,A
WI,3,0.667,0.0,0.0,0,0,0,0.667,0.333,0.0,0.33,0,A
WY,3,0.0,0.0,0.0,0,0,0,0.667,0.333,0.0,1,0,B
